storm_id,g_scale,kp_index,bz_nt,wind_speed_km_s,cme_speed_km_s,cme_width_deg,r_scale,geomag_lat_bin,local_time_bin,target_gps_error,target_hf_prob
storm_000,0,3.4,-11.0,555.3,763.7,136.7,0,1,1,1.1,0.38
storm_000,0,2.6,-11.2,509.9,763.7,136.7,0,1,1,1.01,0.347
storm_000,0,3.1,-7.1,516.2,763.7,136.7,0,1,1,0.71,0.36
storm_000,0,2.9,-9.8,533.5,763.7,136.7,0,1,1,0.87,0.363
storm_000,0,3.3,-11.3,538.6,763.7,136.7,0,1,1,1.38,0.364
storm_000,0,3.1,-12.5,560.9,763.7,136.7,0,1,1,1.28,0.255
storm_000,0,2.9,-8.6,548.4,763.7,136.7,0,1,1,0.87,0.341
storm_000,0,3.4,-11.5,514.9,763.7,136.7,0,1,1,1.18,0.425
storm_000,0,3.8,-9.4,509.2,763.7,136.7,0,1,1,1.12,0.354
storm_000,0,3.9,-8.2,565.0,763.7,136.7,0,1,1,1.02,0.379
storm_000,0,3.8,-11.0,563.9,763.7,136.7,0,1,1,1.29,0.332
storm_000,0,3.0,-7.3,560.7,763.7,136.7,0,1,1,0.73,0.4
storm_000,0,3.8,-9.3,531.5,763.7,136.7,0,1,1,1.34,0.387
storm_000,0,4.4,-8.4,492.0,763.7,136.7,0,1,1,1.49,0.404
storm_000,0,3.6,-10.5,504.7,763.7,136.7,0,1,1,1.25,0.456
storm_000,0,3.3,-11.1,528.3,763.7,136.7,0,1,1,1.26,0.383
storm_000,0,3.3,-9.9,554.7,763.7,136.7,0,1,1,1.13,0.331
storm_000,0,3.4,-13.0,536.6,763.7,136.7,0,1,1,1.42,0.384
storm_000,0,3.6,-12.9,539.7,763.7,136.7,0,1,1,1.37,0.363
storm_000,0,3.2,-9.3,541.2,763.7,136.7,0,1,1,1.12,0.368
storm_000,0,3.7,-13.9,542.9,763.7,136.7,0,1,1,1.58,0.389
storm_000,0,4.8,-9.5,540.6,763.7,136.7,0,1,1,2.0,0.383
storm_000,0,4.2,-8.5,559.5,763.7,136.7,0,1,1,1.2,0.478
storm_000,0,2.9,-5.7,556.2,763.7,136.7,0,1,1,0.51,0.316
storm_000,0,3.6,-13.2,534.4,763.7,136.7,0,1,1,1.49,0.329
storm_000,0,3.8,-7.0,526.0,763.7,136.7,0,1,1,0.88,0.375
storm_000,0,4.0,-9.6,519.8,763.7,136.7,0,1,1,1.49,0.319
storm_000,0,3.7,-8.5,549.6,763.7,136.7,0,1,1,0.9,0.318
storm_000,0,3.9,-9.6,550.4,763.7,136.7,0,1,1,1.27,0.359
storm_000,0,3.7,-11.5,550.3,763.7,136.7,0,1,1,1.59,0.409
storm_000,0,3.0,-12.0,557.6,763.7,136.7,0,1,1,1.3,0.408
storm_000,0,3.2,-9.2,563.7,763.7,136.7,0,1,1,1.02,0.454
storm_000,0,3.5,-11.8,529.3,763.7,136.7,0,1,1,1.17,0.37
storm_000,0,3.8,-8.4,550.0,763.7,136.7,0,1,1,1.06,0.461
storm_000,0,3.5,-8.8,598.8,763.7,136.7,0,1,1,0.89,0.319
storm_000,0,3.8,-8.6,540.0,763.7,136.7,0,1,1,1.17,0.388
storm_000,0,3.2,-11.0,514.1,763.7,136.7,0,1,1,1.2,0.369
storm_000,0,3.0,-9.3,547.9,763.7,136.7,0,1,1,0.85,0.356
storm_000,0,3.6,-9.3,521.6,763.7,136.7,0,1,1,1.15,0.435
storm_000,0,4.1,-11.9,516.9,763.7,136.7,0,1,1,1.72,0.432
storm_001,0,3.4,7.6,748.8,1578.4,133.9,0,1,1,0.11,0.404
storm_001,0,2.8,5.1,737.7,1578.4,133.9,0,1,1,0.0,0.288
storm_001,0,3.3,1.5,760.7,1578.4,133.9,0,1,1,0.07,0.366
storm_001,0,3.3,4.2,790.0,1578.4,133.9,0,1,1,0.07,0.375
storm_001,0,3.3,1.4,764.2,1578.4,133.9,0,1,1,0.08,0.39
storm_001,0,4.1,2.3,723.1,1578.4,133.9,0,1,1,0.77,0.371
storm_001,0,4.5,0.4,755.2,1578.4,133.9,0,1,1,1.65,0.532
